DATE,PARTY NAME,BILL,ITEM,MAKE,QTY,RATE,TOTAL,PARTY,EX RATE,TOTAL,BROK.TIME,OTHER NOTI.,PAY DATE
08-04-2021,AJAHARA ENTERPRISE,223,6205 ZZ,FAG,42,105,4410,N M SALES AG,,0,MARCH,,
08-04-2021,AJAHARA ENTERPRISE,223,6207 ZZ,FAG,35,239.25,8373.75,N M SALES AG,,0,MARCH,,
22-04-2021,AJAHARA ENTERPRISE,SALE,6206,FAG,14,182.62,2556.68,HARSH SALES CORP,,0,MARCH,,
01-06-2021,AJAHARA ENTERPRISE,1185,6006 2RS,FAG,20,149.43,2988.6,KOHINOOR BRGS,,0,MARCH,,
24-06-2021,AJAHARA ENTERPRISE,1726,6007 2RS,FAG,22,173.5,3817,KOHINOOR BRGS,,0,MARCH,,
01-07-2021,AJAHARA ENTERPRISE,SALE,6205 ZZ B,FAG,48,110,5280,KOHINOOR BRGS,,0,MARCH,,
02-07-2021,AJAHARA ENTERPRISE,1912,22212 K,FAG,2,2083.78,4167.56,KOHINOOR BRGS,,0,MARCH,,
07-07-2021,AJAHARA ENTERPRISE,203,,FAG,1,9297.3,9297.3,N M SALES AG,,0,MARCH,,
12-07-2021,AJAHARA ENTERPRISE,4059,6012/6008 ZZ,FAG,1,2141,2141,HARSH SALES CORP,,0,MARCH,,
12-07-2021,AJAHARA ENTERPRISE,2134,,FAG,1,13958.6,13958.6,KOHINOOR BRGS,,0,MARCH,,
19-07-2021,AJAHARA ENTERPRISE,2302,,FAG,1,9465.25,9465.25,N M SALES AG,,0,MARCH,,
26-07-2021,AJAHARA ENTERPRISE,2416,23132 K M,FAG,2,19631.9,39263.8,KOHINOOR BRGS,,0,MARCH,,
05-08-2021,AJAHARA ENTERPRISE,2687,6205 ZZ,FAG,30,108,3240,N M SALES AG,,0,MARCH,,
05-08-2021,AJAHARA ENTERPRISE,2687,6206 ZZ,FAG,30,155,4650,N M SALES AG,,0,MARCH,,
24-08-2021,AJAHARA ENTERPRISE,SALE,22216,FAG,1,2863.96,2863.96,N M SALES AG,,0,MARCH,,
26-08-2021,AJAHARA ENTERPRISE,SALE,22217 EK,FAG,5,3577.95,17889.75,KOHINOOR BRGS,,0,MARCH,,
27-08-2021,AJAHARA ENTERPRISE,SALE,6005 ZZ,FAG,40,108.12,4324.8,N M SALES AG,,0,MARCH,,
02-09-2021,AJAHARA ENTERPRISE,SALE,6204 2RS C3,FAG,66,157,10362,KOHINOOR BRGS,,0,MARCH,,
06-09-2021,AJAHARA ENTERPRISE,3481,,FAG,1,16804.36,16804.36,KOHINOOR BRGS,,0,MARCH,,
20-09-2021,AJAHARA ENTERPRISE,3770,6016,FAG,10,837.2,8372,KOHINOOR BRGS,,0,MARCH,,
21-09-2021,AJAHARA ENTERPRISE,3803,,FAG,1,2183.6,2183.6,N M SALES AG,,0,MARCH,,
23-09-2021,AJAHARA ENTERPRISE,3824,6206 ZZ,FAG,1,7078.62,7078.62,N M SALES AG,,0,MARCH,,
11-10-2021,AJAHARA ENTERPRISE,4201,6205 ZZC3 B,FAG,216,108,23328,N M SALES AG,,0,MARCH,,
19-10-2021,AJAHARA ENTERPRISE,4368,6006 2RS,FAG,20,149.43,2988.6,KOHINOOR BRGS,,0,MARCH,,
22-10-2021,AJAHARA ENTERPRISE,4442,6004 ZZ,FAG,120,97.41,11689.2,N M SALES AG,,0,MARCH,,
27-10-2021,AJAHARA ENTERPRISE,SALE,6007 ZZ,FAG,20,170.5,3410,N M SALES AG,,0,MARCH,,
28-10-2021,AJAHARA ENTERPRISE,SALE,6206 ZZ,FAG,40,150,6000,N M SALES AG,,0,MARCH,,
30-10-2021,AJAHARA ENTERPRISE,SALE,6006 ZZ,FAG,50,142.5,7125,N M SALES AG,,0,MARCH,,
09-11-2021,AJAHARA ENTERPRISE,4706,6004 ZZ,FAG,40,100.47,4018.8,KOHINOOR BRGS,,0,MARCH,,
27-11-2021,AJAHARA ENTERPRISE,SALE,6408,FAG,2,620.67,1241.34,KOHINOOR BRGS,,0,MARCH,,
30-11-2021,AJAHARA ENTERPRISE,SALE,NA 4908,IKO,2,600,1200,GAUTTAM ENT.,,0,MARCH,,
18-12-2021,AJAHARA ENTERPRISE,5536,,FAG,1,3974.7,3974.7,KOHINOOR BRGS,,0,MARCH,,
27-12-2021,AJAHARA ENTERPRISE,SALE,6207 ZZ,FAG,56,220.5,12348,N M SALES AG,,0,MARCH,,
31-12-2021,AJAHARA ENTERPRISE,5751,,FAG,1,8297.5,8297.5,N M SALES AG,,0,MARCH,,
08-01-2022,AJAHARA ENTERPRISE,1814,,FAG,1,5758,5758,N M SALES AG,,0,MARCH,,
14-01-2022,AJAHARA ENTERPRISE,SALE,6010 ZZ,FAG,46,324.87,14944.02,N M SALES AG,,0,MARCH,,
17-01-2022,AJAHARA ENTERPRISE,6103,,FAG,1,12600,12600,N M SALES AG,,0,MARCH,,
31-01-2022,AJAHARA ENTERPRISE,6430,6204 2RS C3,FAG,132,111,14652,KOHINOOR BRGS,,0,MARCH,,
02-02-2022,AJAHARA ENTERPRISE,6508,222160 K,FAG,4,2950.2,11800.8,KOHINOOR BRGS,,0,MARCH,,
03-02-2022,AJAHARA ENTERPRISE,6518,6006/6008 2RS,FAG,10,425,4250,KOHINOOR BRGS,,0,MARCH,,
08-02-2022,AJAHARA ENTERPRISE,6644,,FAG,1,9850,9850,N M SALES AG,,0,MARCH,,
09-02-2022,AJAHARA ENTERPRISE,6656,6204 2RS C3,FAG,132,131,17292,KOHINOOR BRGS,,0,MARCH,,
09-02-2022,AJAHARA ENTERPRISE,6656,6207 ZZ C3 B,FAG,90,190,17100,KOHINOOR BRGS,,0,MARCH,,
17-02-2022,AJAHARA ENTERPRISE,6837,30309-6210,FAG,1,1852,1852,N M SALES AG,,0,MARCH,,
21-02-2022,AJAHARA ENTERPRISE,SALE,300309,FAG,2,,0,N M SALES AG,,0,MARCH,,
