DATE,BILL,ITEM,MAKE,QTY,RATE,TOTAL,PARTY,EX RATE,EX TOTAL
01-10-2020,X,5206,JAF,1,450,450,KOHINOOR BEARING,0,0
14-10-2020,SALE,6904 2RS,FBJ,50,75,3750,GAUTTAM ENT.,0,0
21-10-2020,SALE,SS 6005 ZZ,BTM,12,145,1740,GAUTTAM ENT.,0,0
21-10-2020,SALE,SS 6006 ZZ,BTM,10,210,2100,GAUTTAM ENT.,0,0
21-10-2020,SALE,6208 ZZ,NTN,10,325,3250,GAUTTAM ENT.,0,0
21-10-2020,SALE,6900 ZZ,NTN,10,110,1100,GAUTTAM ENT.,0,0
21-10-2020,SALE,6000 ZZ,NTN,10,65,650,GAUTTAM ENT.,0,0
23-10-2020,SALE,30218,NTN,4,2550,10200,GAUTTAM ENT.,0,0
24-10-2020,X,R 4 ZZ,EZO,10,85,850,KOHINOOR BEARING,0,0
29-10-2020,SALE,UCFL 205,NTN,18,625,11250,GAUTTAM ENT.,0,0
29-10-2020,SALE,UCFL 208,NTN,3,1100,3300,GAUTTAM ENT.,0,0
29-10-2020,SALE,UCP 208,NTN,3,1100,3300,GAUTTAM ENT.,0,0
31-10-2020,SALE,UCT 208,NTN,3,1250,3750,GAUTTAM ENT.,0,0
03-11-2020,SALE,6200 ZZ SS,EZO,6,285,1710,GAUTTAM ENT.,0,0
03-11-2020,SALE,6900 ZZ,EZO,30,100,3000,GAUTTAM ENT.,0,0
23-11-2020,SALE,608 ZZ,EZO,210,55,11550,NMSA,0,0
05-12-2020,X,63800 ZZ,EZO,10,85,850,KOHINOOR BEARING,0,0
07-12-2020,SALE,635 ZZ,EZO,34,100,3400,GAUTTAM ENT.,0,0
21-12-2020,SALE,UCP 205,NTN,3,625,1875,GAUTTAM ENT.,0,0
23-12-2020,SALE,F 608 ZZ,EZO,40,75,3000,GAUTTAM ENT.,0,0
24-12-2020,SALE,698 2RS,EZO,30,135,4050,KOHINOOR BEARING,0,0
24-12-2020,SALE,688 2RS,EZO,10,85,850,KOHINOOR BEARING,0,0
02-01-2021,SALE,6804 ZZ,NTN,10,215,2150,GAUTTAM ENT.,0,0
02-01-2021,SALE,6906 ZZ,NTN,6,145,870,GAUTTAM ENT.,0,0
07-01-2021,X,R 144 ZZ,EZO,10,120,1200,KOHINOOR BEARING,0,0
11-01-2021,SALE,6900 ZZ,EZO,20,120,2400,GAUTTAM ENT.,0,0
11-01-2021,SALE,698 ZZ SS,EZO,24,165,3960,GAUTTAM ENT.,0,0
18-01-2021,SALE,5204 ZZ,JAF,4,350,1400,GAUTTAM ENT.,0,0
18-01-2021,SALE,6005 ZZ,EZO,8,575,4600,GAUTTAM ENT.,0,0
29-01-2021,SALE,6900 ZZ,EZO,20,100,2000,GAUTTAM ENT.,0,0
30-01-2021,SALE,5204 ZZ,JAF,5,275,1375,GAUTTAM ENT.,0,0
30-01-2021,SALE,5207 ZZ,JAF,1,875,875,GAUTTAM ENT.,0,0
02-02-2021,SALE,6904 ZZ,NTN,12,175,2100,GAUTTAM ENT.,0,0
03-02-2021,SALE,693 ZZ,EZO,400,84,33600,KOHINOOR BEARING,0,0
04-02-2021,SALE,51105 SS,BTM,100,340,34000,GAUTTAM ENT.,0,0
05-02-2021,SALE,6900 ZZ,EZO,30,100,3000,GAUTTAM ENT.,0,0
09-02-2021,SALE,6901 ZZ,EZO,40,100,4000,GAUTTAM ENT.,0,0
12-02-2021,SALE,6900 ZZ,EZO,10,100,1000,GAUTTAM ENT.,0,0
12-02-2021,SALE,R 3ZZ,EZO,10,110,1100,GAUTTAM ENT.,0,0
13-03-2021,3025,693 ZZ,EZO,220,85,18700,KOHINOOR BEARING,0,0
